time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,High,Blocking,Very high,Very high,5640,-4754,-2344,-5,82,0,0.5431746244,0.6222824454,0.8617150187
0,High,Blocking,Very high,Very high,5640,-4754,-2344,-5,82,0,0.5431746244,0.6222824454,0.8617150187
0.0207929611,High,Blocking,Very high,Very high,6744,-6273,1748,10,95,-24,,,
0.0402488708,High,Blocking,Very high,Very high,6887,-5423,5880,10,53,40,,,
0.0611178875,High,Blocking,Very high,Very high,6775,-5196,5324,11,63,43,,,
0.0738637447,High,Blocking,Very high,Very high,,,,,,,0.593488276,0.4185147285,0.906996727
0.0815007687,High,Blocking,Very high,Very high,5346,-4335,5583,25,66,16,,,
0.1020817757,High,Blocking,Very high,Very high,3984,-3250,5939,20,59,10,,,
0.1235466003,High,Blocking,Very high,Very high,2650,-2179,6715,17,47,0,,,
0.1332354546,High,Blocking,Very high,Very high,,,,,,,0.593488276,0,1
0.1430003643,High,Blocking,Very high,Very high,1608,-1023,7227,13,35,1,,,
0.1640667915,High,Blocking,Very high,Very high,-247,-303,7405,9,32,-1,,,
0.1848368645,High,Blocking,Very high,Very high,-980,-515,7599,4,7,2,,,
0.2032837868,High,Blocking,Very high,Very high,,,,,,,0.593488276,0,1
0.2047162056,High,Blocking,Very high,Very high,-1796,90,6071,-4,-17,-15,,,
0.2256426811,High,Blocking,Very high,Very high,-1963,609,5189,-6,-22,-31,,,
0.2450032234,High,Blocking,Very high,Very high,-2034,999,4346,-7,-27,-38,,,
0.2634837627,High,Blocking,Very high,Very high,,,,,,,0.593488276,0.1239386797,0.9724580646
0.2666859627,High,Blocking,Very high,Very high,-2214,1168,3021,-11,-25,-26,,,
0.2870941162,High,Blocking,Very high,Very high,-2228,1183,2469,-13,-25,-16,,,
0.3071699142,High,Blocking,Very high,Very high,-2279,1166,2009,-14,-24,-10,,,
0.3227496147,High,Blocking,Very high,Very high,,,,,,,0.593488276,0.0908713639,0.9798063636
0.3275725842,High,Blocking,Very high,Very high,-2295,1251,1227,-17,-22,-9,,,
0.3480606079,High,Blocking,Very high,Very high,-2090,1130,771,-17,-19,-13,,,
0.3679828644,High,Blocking,Very high,Very high,-1654,520,189,-13,-11,-22,,,
0.3892514706,High,Blocking,Very high,Very high,-1459,253,54,-12,-10,-21,,,
0.3935203552,High,Blocking,Very high,Very high,,,,,,,0.593488276,0.0300335977,0.9933258891
0.4090547562,High,Blocking,Very high,Very high,-1298,112,-57,-10,-9,-20,,,
0.4295949936,High,Blocking,Very high,Very high,-968,-105,-303,-8,-8,-21,,,
0.4525372982,High,Blocking,Very high,Very high,-774,-407,-365,-8,-10,-21,,,
0.4709494114,High,Blocking,Very high,Very high,-525,-706,-405,-6,-14,-15,,,
0.471193552,High,Blocking,Very high,Very high,,,,,,,0.6952837706,0.5791437626,0.8713014126
0.490824461,High,Blocking,Very high,Very high,-69,-887,-556,1,-14,-2,,,
0.5113050938,High,Blocking,Very high,Very high,30,-922,-501,4,-11,1,,,
0.5277457237,High,Blocking,Very high,Very high,77,-1008,-234,4,-13,1,,,
0.5293662548,High,Blocking,Very high,Very high,,,,,,,0.6952837706,0,1
0.5485756397,High,Blocking,Very high,Very high,107,-1142,360,7,-26,7,,,
0.5692989826,High,Blocking,Very high,Very high,27,-1137,347,8,-29,10,,,
0.5906057358,High,Blocking,Very high,Very high,-200,-868,-622,11,-22,4,,,
0.5961790085,High,Blocking,Very high,Very high,,,,,,,0.6952837706,0.169887349,0.9622472525
0.6097064018,High,Blocking,Very high,Very high,-382,-593,-1284,11,-16,-5,,,
0.6306829453,High,Blocking,Very high,Very high,-540,-338,-1718,9,-10,-15,,,
0.6514501572,High,Blocking,Very high,Very high,-728,-421,-1253,9,-9,-29,,,
0.6714527607,High,Blocking,Very high,Very high,-824,-758,-513,8,-10,-20,,,
0.6724820137,High,Blocking,Very high,Very high,,,,,,,0.7890637517,0.5586799979,0.8758488894
0.6915426254,High,Blocking,Very high,Very high,-835,-1110,192,4,-14,3,,,
0.7119717598,High,Blocking,Very high,Very high,31,-1531,229,-6,-24,42,,,
0.7338070869,High,Blocking,Very high,Very high,587,-1798,-640,-9,-21,49,,,
0.753278017,High,Blocking,Very high,Very high,,,,,,,0.6989220977,0.569599092,0.8734224439
0.7542233467,High,Blocking,Very high,Very high,1236,-2260,-1578,-10,-10,54,,,
0.7733640671,High,Blocking,Very high,Very high,3373,-2121,-1974,-1,19,81,,,
0.7940270901,High,Blocking,Very high,Very high,4053,-842,-1277,-7,62,70,,,
0.8152122498,High,Blocking,Very high,Very high,4168,-77,213,-29,89,12,,,
0.8354771137,High,Blocking,Very high,Very high,,,,,,,0.7526080608,0.5592809916,0.8757153153
0.8360571861,High,Blocking,Very high,Very high,3624,-908,6050,6,1,-33,,,
0.8557727337,High,Blocking,Very high,Very high,3082,-1533,7228,0,-23,-32,,,
0.8757276535,High,Blocking,Very high,Very high,2667,-2091,6775,-2,-21,-2,,,
0.8963091373,High,Blocking,Very high,Very high,2550,-1954,6249,-8,-16,15,,,
0.9081068039,High,Blocking,Very high,Very high,,,,,,,0.651581645,0.5728914738,0.8726907969
0.918207407,High,Blocking,Very high,Very high,2587,-1787,5628,-13,-17,24,,,
0.9373762608,High,Blocking,Very high,Very high,2450,-1305,3735,-17,-23,9,,,
0.957975626,High,Blocking,Very high,Very high,2091,-1034,2943,-18,-24,-7,,,
0.9685034752,High,Blocking,Very high,Very high,,,,,,,0.6300039887,0.5730485916,0.8726558685
0.978540659,High,Blocking,Very high,Very high,1646,-711,2439,-20,-26,-22,,,
0.9995613098,High,Blocking,Very high,Very high,977,-31,1714,-23,-22,-28,,,
1.0203275681,High,Blocking,Very high,Very high,729,206,1427,-24,-14,-24,,,
1.0373458862,High,Blocking,Very high,Very high,,,,,,,0.6544045806,0.5854982734,0.8698892593
1.0400123596,High,Blocking,Very high,Very high,389,213,1153,-24,-6,-20,,,
1.0618138313,High,Blocking,Very high,Very high,-375,10,824,-26,3,-21,,,
1.08091712,High,Blocking,Very high,Very high,-602,-94,635,-28,2,-25,,,
1.1014425755,High,Blocking,Very high,Very high,-479,-109,19,-29,1,-37,,,
1.1039550304,High,Blocking,Very high,Very high,,,,,,,0.6587460041,0.5437833667,0.8791592717
1.122210741,High,Blocking,Very high,Very high,-321,-111,-290,-28,6,-45,,,
1.1424179077,High,Blocking,Very high,Very high,-248,-153,-351,-25,13,-52,,,
1.1627881527,High,Blocking,Very high,Very high,-248,-222,-11,-21,17,-52,,,
1.1768915653,High,Blocking,Very high,Very high,,,,,,,0.5290306807,0.5165492892,0.8852112889
1.1842267513,High,Blocking,Very high,Very high,-526,-467,1276,-16,6,-33,,,
1.2033939362,High,Blocking,Very high,Very high,-628,-551,1817,-14,-3,-16,,,
1.2244205475,High,Blocking,Very high,Very high,-744,-259,2270,-8,-21,13,,,
1.2447342873,High,Blocking,Very high,Very high,-718,-62,2052,-4,-23,16,,,
1.2621922493,High,Blocking,Very high,Very high,,,,,,,0.3610813916,0.5827450156,0.870501101
1.265296936,High,Blocking,Very high,Very high,-762,43,1697,0,-21,14,,,
1.2856912613,High,Blocking,Very high,Very high,-830,98,1538,6,-19,9,,,
1.3062229156,High,Blocking,Very high,Very high,-832,164,1610,10,-20,8,,,
1.3266105652,High,Blocking,Very high,Very high,-872,317,2022,16,-23,12,,,
1.3470308781,High,Blocking,Very high,Very high,-972,434,2287,19,-24,15,,,
1.3499929905,High,Blocking,Very high,Very high,,,,,,,0.4379486442,0.7235726118,0.8392060995
1.3673155308,High,Blocking,Very high,Very high,-1136,622,2542,20,-23,15,,,
1.3882157803,High,Blocking,Very high,Very high,-1404,1215,2935,19,-17,20,,,
1.4083855152,High,Blocking,Very high,Very high,-1466,1480,3017,17,-13,23,,,
1.4293482304,High,Blocking,Very high,Very high,-1435,1624,2992,15,-5,26,,,
1.4390668869,High,Blocking,Very high,Very high,,,,,,,0.4119955599,0.7738074064,0.8280428052
1.4504778385,High,Blocking,Very high,Very high,-1306,1643,3045,12,3,32,,,
1.4698367119,High,Blocking,Very high,Very high,-1205,1452,2968,9,7,38,,,
1.5113782883,High,Blocking,Very high,Very high,-544,1,1909,2,22,44,,,
1.5153484344,High,Blocking,Very high,Very high,,,,,,,0.3594026864,0.862267077,0.8083850741
1.5687329769,High,Blocking,Very high,Very high,760,-2071,1065,-1,30,28,,,
1.5912880898,High,Blocking,Very high,Very high,2160,-3449,1802,-6,30,10,,,
