time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Medium,Walking,Very high,Low,3828,-1841,275,26,15,32,0,0,0
0,Medium,Walking,Very high,Low,3828,-1841,275,26,15,32,0,0,0
0.0432453156,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.0463929176,Medium,Walking,Very high,Low,2047,-1647,177,31,17,39,,,
0.0950696468,Medium,Walking,Very high,Low,-53,-1550,174,17,-7,42,,,
0.0980386734,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.1351633072,Medium,Walking,Very high,Low,-364,-1242,-1866,7,-4,68,,,
0.1420063972,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.1811323166,Medium,Walking,Very high,Low,-509,-1997,-2932,-2,7,75,,,
0.1958332062,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.2258815765,Medium,Walking,Very high,Low,386,-2198,-2260,-12,9,85,,,
0.2360167503,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.2749276161,Medium,Walking,Very high,Low,1941,-1995,-1084,-14,11,100,,,
0.296210289,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.3157987595,Medium,Walking,Very high,Low,5288,-790,2136,-14,40,131,,,
0.3359048367,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.3605687618,Medium,Walking,Very high,Low,5833,-568,4960,2,-21,84,,,
0.3939170837,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.4109640121,Medium,Walking,Very high,Low,6335,22,2960,12,12,119,,,
0.4344396591,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.4506876469,Medium,Walking,Very high,Low,4884,-626,1083,19,26,104,,,
0.4966101646,Medium,Walking,Very high,Low,3516,-866,-30,21,26,101,,,
0.4966802597,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.5367126465,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.5407810211,Medium,Walking,Very high,Low,3444,-1350,-787,17,19,101,,,
0.5860972404,Medium,Walking,Very high,Low,3313,-1047,-1518,18,23,87,,,
0.5991535187,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.6349964142,Medium,Walking,Very high,Low,3435,-724,-912,17,20,80,,,
0.6649751663,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.6764261723,Medium,Walking,Very high,Low,3301,-512,-432,10,12,78,,,
0.7215664387,Medium,Walking,Very high,Low,3172,-291,-162,11,20,71,,,
0.7294359207,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.7658939362,Medium,Walking,Very high,Low,3322,-389,471,10,13,69,,,
0.7735788822,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.812179327,Medium,Walking,Very high,Low,3625,-704,818,9,12,57,,,
0.8306064606,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.8577923775,Medium,Walking,Very high,Low,3692,-90,242,13,17,44,,,
0.8705053329,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.9011919498,Medium,Walking,Very high,Low,3891,-665,-379,16,22,25,,,
0.9340224266,Medium,Walking,Very high,Low,,,,,,,0,0,0
0.9474949837,Medium,Walking,Very high,Low,3666,-699,-64,9,19,27,,,
0.9913828373,Medium,Walking,Very high,Low,3800,156,701,-3,25,29,,,
0.9955625534,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.0334801674,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.0363037586,Medium,Walking,Very high,Low,4671,380,1213,-1,10,20,,,
1.0821886063,Medium,Walking,Very high,Low,4501,254,305,4,4,6,,,
1.0943834782,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.1268792152,Medium,Walking,Very high,Low,4650,366,3,4,-1,-1,,,
1.1353273392,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.1715612411,Medium,Walking,Very high,Low,4387,355,280,0,-6,-2,,,
1.1954829693,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.2167675495,Medium,Walking,Very high,Low,4031,308,553,-6,-13,-8,,,
1.2413537502,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.2697613239,Medium,Walking,Very high,Low,3731,481,342,-5,-16,-12,,,
1.2960031033,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.3112449646,Medium,Walking,Very high,Low,3519,759,293,-2,-14,-14,,,
1.3385374546,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.3517024517,Medium,Walking,Very high,Low,3035,818,673,-2,-10,-11,,,
1.3967151642,Medium,Walking,Very high,Low,2368,699,911,-2,-6,-7,,,
1.3983478546,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.4403014183,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.4421498775,Medium,Walking,Very high,Low,1836,285,1078,3,8,-11,,,
1.4872252941,Medium,Walking,Very high,Low,1332,-525,1015,5,7,-21,,,
1.4970550537,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.5360543728,Medium,Walking,Very high,Low,624,-998,820,1,4,-22,,,
1.5407454967,Medium,Walking,Very high,Low,,,,,,,0,0,0
1.5779542923,Medium,Walking,Very high,Low,670,-376,581,-4,18,-11,,,
