time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Very High,Running,Very High,Very High,-2723,-3833,-7639,-32,51,46,0.4216417968,0.52753824,0.8827692866
0.0215044022,Very High,Running,Very High,Very High,314,-2299,-6078,-34,59,52,,,
0.0415482521,Very High,Running,Very High,Very High,2228,-316,-5408,-27,72,69,,,
0.0613834858,Very High,Running,Very High,Very High,4920,1851,-1446,-3,71,30,,,
0.0667562485,Very High,Running,Very High,Very High,,,,,,,0,0,0
0.0841214657,Very High,Running,Very High,Very High,4758,2037,1906,-2,79,17,,,
0.1032352448,Very High,Running,Very High,Very High,4494,570,4149,-18,68,27,,,
0.1228804588,Very High,Running,Very High,Very High,6343,-333,4146,-65,-16,74,,,
0.1347942352,Very High,Running,Very High,Very High,,,,,,,0,0,0
0.1440725327,Very High,Running,Very High,Very High,6533,359,1496,-62,-17,72,,,
0.1638734341,Very High,Running,Very High,Very High,6438,1263,-189,-55,-9,74,,,
0.1842420101,Very High,Running,Very High,Very High,7418,3088,2477,-32,24,100,,,
0.1975090504,Very High,Running,Very High,Very High,,,,,,,0,0,0
0.2053623199,Very High,Running,Very High,Very High,8442,3155,4238,-25,20,59,,,
0.2251667976,Very High,Running,Very High,Very High,9882,2713,5343,-32,-16,11,,,
0.2478032112,Very High,Running,Very High,Very High,9708,1726,4133,-19,-15,52,,,
0.2618975639,Very High,Running,Very High,Very High,,,,,,,0,0,0
0.2667014599,Very High,Running,Very High,Very High,9491,1039,2125,-14,-23,89,,,
0.2873888016,Very High,Running,Very High,Very High,7652,1476,-2685,6,-26,118,,,
0.3082361221,Very High,Running,Very High,Very High,6311,1516,-4551,16,-16,103,,,
0.3256824017,Very High,Running,Very High,Very High,,,,,,,0.4166666567,0.1171814725,0.9739596844
0.3275835514,Very High,Running,Very High,Very High,5402,1118,-5437,26,-8,79,,,
0.3483650684,Very High,Running,Very High,Very High,4447,-192,-4859,25,-10,48,,,
0.3689343929,Very High,Running,Very High,Very High,4018,-334,-4127,17,-14,50,,,
0.3890068531,Very High,Running,Very High,Very High,3722,-93,-3708,11,-13,59,,,
0.4028384686,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.5301356316,0.8821920753
0.4100499153,Very High,Running,Very High,Very High,4092,749,-3312,17,2,66,,,
0.4299662113,Very High,Running,Very High,Very High,4531,1355,-2689,22,9,71,,,
0.4505963326,Very High,Running,Very High,Very High,5090,2049,-1572,26,15,78,,,
0.4629430771,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0,1
0.4719183445,Very High,Running,Very High,Very High,5802,3015,861,28,6,80,,,
0.4913942814,Very High,Running,Very High,Very High,5681,2714,1336,27,-3,67,,,
0.5128457546,Very High,Running,Very High,Very High,5396,2081,1364,26,-16,56,,,
0.5280056,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0,1
0.5323898792,Very High,Running,Very High,Very High,4385,1035,332,19,-33,53,,,
0.5533819199,Very High,Running,Very High,Very High,3687,662,-361,16,-34,56,,,
0.5742604733,Very High,Running,Very High,Very High,2542,91,-784,9,-13,47,,,
0.593870163,Very High,Running,Very High,Very High,2196,-197,-484,6,4,35,,,
0.5989596844,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.1477285326,0.9671714306
0.6154062748,Very High,Running,Very High,Very High,2057,-646,-240,5,18,24,,,
0.6358015537,Very High,Running,Very High,Very High,2490,-1828,500,-1,16,1,,,
0.6554527283,Very High,Running,Very High,Very High,2627,-1654,1328,-4,7,-6,,,
0.6616849899,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.1207175851,0.9731738567
0.6767587662,Very High,Running,Very High,Very High,2807,-1052,2041,-5,1,-7,,,
0.6920838356,Very High,Running,Very High,Very High,2963,-106,2157,-4,4,-9,,,
0.7135970592,Very High,Running,Very High,Very High,2895,-132,1702,-5,5,-14,,,
0.7330112457,Very High,Running,Very High,Very High,2897,-144,1135,-10,7,-15,,,
0.7334537506,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.0804281831,0.9821270704
0.7546467781,Very High,Running,Very High,Very High,2895,275,-76,-17,10,-8,,,
0.775033474,Very High,Running,Very High,Very High,3474,867,-528,-14,9,-3,,,
0.7947568893,Very High,Running,Very High,Very High,4145,2140,189,1,2,13,,,
0.7962534428,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0,1
0.8153972626,Very High,Running,Very High,Very High,3961,2042,1050,1,1,12,,,
0.8355095387,Very High,Running,Very High,Very High,3532,1666,1600,-4,-3,13,,,
0.8562908173,Very High,Running,Very High,Very High,2703,716,1234,-10,-6,10,,,
0.8626167774,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0,1
0.8771715164,Very High,Running,Very High,Very High,2618,569,920,-11,-5,8,,,
0.8970701694,Very High,Running,Very High,Very High,2770,693,801,-11,-4,6,,,
0.9180965424,Very High,Running,Very High,Very High,3199,960,882,-5,-7,7,,,
0.9289486408,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.0107856318,0.997603178
0.9396953583,Very High,Running,Very High,Very High,3360,1219,793,-1,-10,10,,,
0.9584424496,Very High,Running,Very High,Very High,3392,1601,685,3,-10,17,,,
0.9787721634,Very High,Running,Very High,Very High,3199,2052,577,3,-4,30,,,
0.999355793,Very High,Running,Very High,Very High,3174,1930,754,1,-2,30,,,
1.0002963543,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0,1
1.0201010704,Very High,Running,Very High,Very High,3197,1667,1043,-2,-4,27,,,
1.0431416035,Very High,Running,Very High,Very High,3216,1128,1291,-3,-15,18,,,
1.0607888699,Very High,Running,Very High,Very High,3219,895,1217,-2,-19,12,,,
1.0670442581,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.0234380439,0.9947915673
1.0816178322,Very High,Running,Very High,Very High,2501,395,582,-5,-21,6,,,
1.1017251015,Very High,Running,Very High,Very High,1787,-139,-126,-8,-12,1,,,
1.1228804588,Very High,Running,Very High,Very High,1380,-769,-745,-12,-1,-11,,,
1.1375579834,Very High,Running,Very High,Very High,,,,,,,0.7295523882,0.0851911455,0.9810686111
1.1440484524,Very High,Running,Very High,Very High,1654,-1161,-109,-18,1,-27,,,
1.1631202698,Very High,Running,Very High,Very High,1963,-772,987,-18,-1,-24,,,
1.1836385727,Very High,Running,Very High,Very High,2473,-214,2160,-17,-2,-19,,,
1.2042253017,Very High,Running,Very High,Very High,2958,761,3146,-14,-11,-14,,,
1.2186405659,Very High,Running,Very High,Very High,,,,,,,0.5152457952,0.3696440458,0.9178568721
1.2245779037,Very High,Running,Very High,Very High,2897,825,2603,-10,-7,-19,,,
1.2463231087,Very High,Running,Very High,Very High,2810,527,1846,-8,-1,-24,,,
1.26547575,Very High,Running,Very High,Very High,2547,-459,536,-9,5,-32,,,
1.2863297462,Very High,Running,Very High,Very High,2360,-778,167,-10,8,-36,,,
1.3071856499,Very High,Running,Very High,Very High,2217,-734,404,-9,12,-38,,,
1.3141851425,Very High,Running,Very High,Very High,,,,,,,0.5059263706,0.5454424024,0.8787905574
1.3269069195,Very High,Running,Very High,Very High,2395,-493,899,-6,11,-35,,,
1.3475096226,Very High,Running,Very High,Very High,2671,-249,1541,-3,8,-31,,,
1.3685152531,Very High,Running,Very High,Very High,2959,5,2498,3,-1,-18,,,
1.3843586445,Very High,Running,Very High,Very High,,,,,,,0.4787273407,0.6724137664,0.8505747318
1.3884234428,Very High,Running,Very High,Very High,2969,18,2641,4,-4,-13,,,
1.4091286659,Very High,Inactive,Very High,Very High,2836,-55,2561,6,-6,-9,,,
1.4294285774,Very High,Inactive,Very High,Very High,2603,-139,2336,6,-6,-5,,,
1.4498405457,Very High,Inactive,Very High,Very High,2379,-288,2055,6,-7,-3,,,
1.4579172134,Very High,Inactive,Very High,Very High,,,,,,,0.4629576206,0.6948835254,0.8455814123
1.4709818363,Very High,Inactive,Very High,Very High,2036,-712,1720,3,-7,-5,,,
1.4911994934,Very High,Inactive,Very High,Very High,1876,-815,1626,0,-9,-5,,,
1.511854887,Very High,Inactive,Very High,Very High,1605,-786,1552,-2,-10,-5,,,
1.5319142342,Very High,Inactive,Very High,Very High,794,-588,1948,-9,-10,7,,,
1.5442163944,Very High,Inactive,Very High,Very High,,,,,,,0.4461821318,0.7628617883,0.8304751515
1.5523614883,Very High,Inactive,Very High,Very High,-52,-245,2651,-13,-10,12,,,
1.573094368,Very High,Inactive,Very High,Very High,-779,81,3129,-21,-9,2,,,
1.5932221413,Very High,Inactive,Very High,Very High,-475,1665,1981,-29,-1,-26,,,
1.6138679981,Very High,Inactive,Very High,Very High,478,2177,1261,-25,3,-34,,,
1.6193425655,Very High,Inactive,Very High,Very High,,,,,,,0.4328451753,0.7866672277,0.8251850605
1.634932518,Very High,Inactive,Very High,Very High,1378,2249,1037,-20,-1,-33,,,
1.6549243927,Very High,Inactive,Very High,Very High,1776,1696,1058,-18,-19,-26,,,
1.6764819622,Very High,Inactive,Very High,Very High,1595,1581,919,-18,-18,-23,,,
1.696359396,Very High,Inactive,Very High,Very High,1512,2207,837,-13,-6,-16,,,
1.7136583328,Very High,Inactive,Very High,Very High,,,,,,,0.4074305296,0.8154522181,0.8187884092
1.716078043,Very High,Inactive,Very High,Very High,1718,2615,648,-8,-3,-13,,,
1.7366518974,Very High,Inactive,Very High,Very High,1855,2875,208,-4,-1,-13,,,
1.7575564384,Very High,Inactive,Very High,Very High,1756,2354,-633,1,2,-20,,,
1.778316021,Very High,Inactive,Very High,Very High,1323,1835,-603,-2,2,-21,,,
1.785753727,Very High,Inactive,Very High,Very High,,,,,,,0.3932949901,0.8381697536,0.8137400746
1.7981460094,Very High,Inactive,Very High,Very High,821,1540,-405,-6,1,-19,,,
1.8185715675,Very High,Inactive,Very High,Very High,297,1672,623,-9,5,-11,,,
1.840023756,Very High,Inactive,Very High,Very High,367,1587,1216,-7,10,-7,,,
1.8598995209,Very High,Inactive,Very High,Very High,667,1084,1590,-4,11,-6,,,
1.8806364536,Very High,Inactive,Very High,Very High,666,-78,2361,-3,-12,-23,,,
1.88088274,Very High,Inactive,Very High,Very High,,,,,,,0.3927795589,0.8467094302,0.8118423223
1.9004700184,Very High,Inactive,Very High,Very High,745,-370,2513,-5,-14,-21,,,
1.9212858677,Very High,Inactive,Very High,Very High,999,-312,2393,-8,-15,-14,,,
1.9417977333,Very High,Inactive,Very High,Very High,1089,132,1676,-11,-13,-9,,,
1.9503340721,Very High,Inactive,Very High,Very High,,,,,,,0.4241031706,0.8468333483,0.811814785
1.9640591145,Very High,Inactive,Very High,Very High,970,135,1375,-10,-11,-6,,,
1.9823868275,Very High,Inactive,Very High,Very High,915,-32,1011,-11,-8,-1,,,
2.0027170181,Very High,Inactive,Very High,Very High,903,-151,1025,-10,-9,-3,,,
2.0240855217,Very High,Inactive,Very High,Very High,847,-222,1213,-10,-11,-6,,,
2.0421135426,Very High,Inactive,Very High,Very High,,,,,,,0.4145661294,0.851426959,0.8107939959
2.044615984,Very High,Inactive,Very High,Very High,767,-187,1663,-9,-13,-7,,,
2.0641770363,Very High,Inactive,Very High,Very High,812,-155,1837,-8,-14,-7,,,
2.0849194527,Very High,Inactive,Very High,Very High,888,-164,1908,-8,-15,-5,,,
2.1064472198,Very High,Inactive,Very High,Very High,943,-292,1651,-6,-16,-5,,,
2.1139678955,Very High,Inactive,Very High,Very High,,,,,,,0.3951254785,0.8230237961,0.8171058297
2.1256804466,Very High,Inactive,Very High,Very High,957,-325,1503,-6,-15,-6,,,
2.1463553905,Very High,Inactive,Very High,Very High,971,-298,1427,-6,-14,-6,,,
2.1670703888,Very High,Inactive,Very High,Very High,975,-133,1490,-4,-10,-4,,,
2.1822369099,Very High,Inactive,Very High,Very High,,,,,,,0.4200161994,0.813876152,0.8191386461
2.1871213913,Very High,Inactive,Very High,Very High,928,-119,1600,-4,-9,-3,,,
2.2088587284,Very High,Inactive,Very High,Very High,818,-227,1736,-5,-9,-1,,,
2.2285346985,Very High,Inactive,Very High,Very High,785,-275,1733,-6,-9,0,,,
2.2488431931,Very High,Inactive,Very High,Very High,758,-336,1734,-7,-9,1,,,
2.2513968945,Very High,Inactive,Very High,Very High,,,,,,,0.4021298587,0.808468461,0.8203403354
2.2690765858,Very High,Inactive,Very High,Very High,657,-554,1756,-9,-7,-2,,,
2.289642334,Very High,Inactive,Very High,Very High,601,-664,1717,-10,-7,-2,,,
2.3117785454,Very High,Inactive,Very High,Very High,571,-660,1718,-11,-7,-4,,,
2.3304467201,Very High,Inactive,Very High,Very High,598,-597,1605,-11,-5,-5,,,
2.3359103203,Very High,Inactive,Very High,Very High,,,,,,,0.4011896849,0.8081417084,0.8204129338
2.3518445492,Very High,Inactive,Very High,Very High,577,-583,1523,-11,-5,-6,,,
2.3721814156,Very High,Inactive,Very High,Very High,589,-579,1494,-11,-3,-8,,,
2.3923664093,Very High,Inactive,Very High,Very High,605,-507,1553,-11,-3,-10,,,
